freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250001,Ms. Nicole Kidd,Female,52.0,Italy,Italian,Blockchain Development,11.0,100.0,2.6,0,79.0
FL250002,Vanessa Garcia,Female,52.0,Australia,English,Mobile Apps,34.0,100.0,3.3,1,84.0
FL250003,Juan Nelson,Male,53.0,Germany,German,Graphic Design,31.0,50.0,0.0,N,71.0
FL250004,Amanda Spencer,Female,38.0,Australia,English,Web Development,4.0,40.0,1.5,N,90.0
FL250005,Lynn Curtis DDS,Female,53.0,Germany,German,Web Development,27.0,30.0,4.8,0,83.0
FL250006,Lisa Johnson,Female,59.0,Netherlands,Dutch,AI,14.0,30.0,2.4,False,79.0
FL250007,Eric Myers,Male,52.0,Indonesia,Indonesian,Data Analysis,10.0,75.0,3.1,0,94.0
FL250008,Ricky Graham,Male,43.0,Italy,Italian,Blockchain Development,14.0,40.0,4.6,False,94.0
FL250009,Sean Martin,Male,26.0,United States,English,Blockchain Development,4.0,40.0,4.0,True,76.0
FL250010,Matthew Lloyd,Male,52.0,Turkey,Turkish,AI,22.0,50.0,2.6,1,79.0
FL250011,Gavin Randall,Male,40.0,United Kingdom,English,Data Analysis,17.0,40.0,3.6,yes,77.0
FL250012,Michelle Curtis,Female,55.0,Argentina,Spanish,UI/UX Design,15.0,40.0,2.6,Y,86.0
FL250013,Alice Schneider,Female,57.0,United Kingdom,English,Cybersecurity,18.0,40.0,2.0,0,86.0
FL250014,Phillip Shelton,Male,38.0,Argentina,Spanish,Graphic Design,20.0,75.0,2.9,1,93.0
FL250015,Edward Ferguson,Male,50.0,Germany,German,Data Analysis,22.0,75.0,3.7,1,70.0
FL250016,Wyatt Stout,Male,42.0,Japan,Japanese,Data Analysis,0.0,30.0,1.2,0,69.0
FL250017,Laura Johnson,Female,39.0,Australia,English,DevOps,13.0,30.0,2.5,False,60.0
FL250018,Scott Burns,Male,56.0,India,Hindi,Blockchain Development,9.0,40.0,2.6,,87.0
FL250019,Tyler Aguirre,Male,56.0,United States,English,UI/UX Design,31.0,50.0,1.1,N,75.0
FL250020,Matthew Lawson,Male,57.0,Italy,Italian,Web Development,3.0,100.0,1.8,yes,68.0
FL250021,James Cherry,Male,41.0,Indonesia,Indonesian,AI,9.0,50.0,1.8,False,65.0
FL250022,Samuel Sanford,Male,51.0,Japan,Japanese,DevOps,9.0,40.0,2.4,N,69.0
FL250023,Cesar Greene,Male,51.0,Brazil,Portuguese,Cybersecurity,21.0,30.0,4.7,N,79.0
FL250024,Melanie Carter,Female,51.0,South Korea,Korean,Machine Learning,15.0,50.0,1.3,1,100.0
FL250025,Jennifer Martin,Female,54.0,Indonesia,Indonesian,Machine Learning,13.0,75.0,2.9,,92.0
FL250026,Anna Mccann,Female,22.0,South Korea,Korean,DevOps,0.0,30.0,1.2,1,70.0
FL250027,Marissa Bass,Female,34.0,Japan,Japanese,Blockchain Development,8.0,20.0,0.0,True,89.0
FL250028,Alexis Day,Female,36.0,Russia,Russian,Graphic Design,11.0,40.0,1.8,Y,86.0
FL250029,Megan Jones,Female,47.0,Canada,English,AI,22.0,30.0,1.3,0,62.0
FL250030,Lori Smith,Female,41.0,Netherlands,Dutch,Data Analysis,14.0,75.0,1.2,0,79.0
FL250031,Eric Carpenter,Male,22.0,Netherlands,Dutch,DevOps,4.0,40.0,1.0,yes,79.0
FL250032,Timothy Daniels,Male,38.0,France,French,Machine Learning,19.0,100.0,4.2,N,68.0
FL250033,Robert Nelson,Male,46.0,Egypt,Arabic,AI,9.0,20.0,1.4,True,76.0
FL250034,Michael Anderson,Male,41.0,South Korea,Korean,AI,9.0,40.0,2.4,yes,82.0
FL250035,Jessica Snyder,Female,54.0,United States,English,Web Development,32.0,75.0,1.0,yes,81.0
FL250036,Emily Daniels,Female,52.0,South Korea,Korean,Web Development,28.0,20.0,2.6,0,79.0
FL250037,Jamie Ramirez,Female,42.0,Japan,Japanese,Mobile Apps,6.0,40.0,2.6,0,63.0
FL250038,Amy Harrison,Female,29.0,Netherlands,Dutch,Graphic Design,10.0,40.0,2.2,N,67.0
FL250039,Melinda White,Female,42.0,South Africa,Afrikaans,Mobile Apps,23.0,50.0,3.2,yes,79.0
FL250040,James Hernandez,Male,60.0,Japan,Japanese,Web Development,13.0,20.0,3.6,0,80.0
FL250041,Angelica Rogers,Female,59.0,United Kingdom,English,AI,3.0,50.0,0.0,no,79.0
FL250042,Savannah Williams,Female,21.0,Canada,English,Web Development,0.0,30.0,2.7,1,84.0
FL250043,Kaitlyn Schmidt,Female,35.0,Germany,German,DevOps,10.0,50.0,0.0,no,79.0
FL250044,Jason Singh,Male,41.0,United Kingdom,English,Data Analysis,9.0,20.0,2.8,True,63.0
FL250045,Michelle Ramirez,Female,51.0,Netherlands,Dutch,Machine Learning,23.0,20.0,2.5,False,80.0
FL250046,James Brown,Male,41.0,South Africa,Afrikaans,Web Development,9.0,75.0,4.9,1,74.0
FL250047,Mrs. Samantha Simmons,Female,47.0,Egypt,Arabic,DevOps,15.0,30.0,4.5,1,85.0
FL250048,Chase Mason,Male,25.0,China,Mandarin,Graphic Design,4.0,50.0,2.7,N,77.0
FL250049,Dominique Ward,Female,25.0,Mexico,Spanish,Mobile Apps,7.0,20.0,1.9,0,79.0
FL250050,Lance Griffin,Male,29.0,Netherlands,Dutch,UI/UX Design,1.0,20.0,1.4,1,63.0
FL250051,Julie Burgess,Female,23.0,Argentina,Spanish,Cybersecurity,0.0,75.0,1.9,True,79.0
FL250052,Don Scott,Male,31.0,France,French,Data Analysis,8.0,50.0,3.4,0,79.0
FL250053,Kyle Atkinson,Male,51.0,Germany,German,Machine Learning,33.0,75.0,3.3,,68.0
FL250054,Jimmy Hogan,Male,41.0,Spain,Spanish,UI/UX Design,1.0,30.0,0.0,0,68.0
FL250055,Jennifer Mcintyre,Female,29.0,Turkey,Turkish,Cybersecurity,11.0,100.0,2.3,True,72.0
FL250056,Larry Simpson,Male,50.0,United Kingdom,English,AI,15.0,40.0,2.0,yes,65.0
FL250057,Laura Price,Female,26.0,United Kingdom,English,DevOps,8.0,50.0,1.3,False,76.0
FL250058,Mark Wright,Male,38.0,Canada,English,AI,17.0,40.0,4.0,True,90.0
FL250059,Samantha Mcdaniel,Female,23.0,India,Hindi,Mobile Apps,9.0,75.0,3.6,1,65.0
FL250060,Barbara Foster,Female,51.0,South Africa,Afrikaans,DevOps,28.0,40.0,3.9,0,63.0
FL250061,Courtney Tran,Female,51.0,Indonesia,Indonesian,AI,33.0,75.0,0.0,True,79.0
FL250062,Eddie Todd,Male,47.0,Germany,German,AI,18.0,75.0,0.0,0,79.0
FL250063,Christine Johnson,Female,34.0,Russia,Russian,UI/UX Design,16.0,20.0,2.3,yes,93.0
FL250064,Leah Phelps,Female,58.0,Indonesia,Indonesian,Data Analysis,35.0,50.0,4.7,no,70.0
FL250065,Rebekah Williams,Female,50.0,Russia,Russian,AI,14.0,40.0,3.5,Y,83.0
FL250066,Crystal Wilson,Female,34.0,Spain,Spanish,Web Development,12.0,40.0,2.4,1,64.0
FL250067,Ashley Cordova,Female,45.0,Brazil,Portuguese,AI,11.0,75.0,4.0,N,100.0
FL250068,Vicki Kelly,Female,55.0,Brazil,Portuguese,Web Development,0.0,40.0,0.0,True,79.0
FL250069,Corey Warren,Male,41.0,Argentina,Spanish,UI/UX Design,6.0,100.0,1.5,False,79.0
FL250070,Gina Thompson,Female,60.0,China,Mandarin,UI/UX Design,38.0,20.0,2.0,no,71.0
FL250071,Yvonne Berg,Female,33.0,South Africa,Afrikaans,Mobile Apps,11.0,40.0,2.6,yes,84.0
FL250072,Thomas Miller,Male,60.0,Italy,Italian,DevOps,13.0,50.0,1.0,False,79.0
FL250073,Nicholas Burton,Male,40.0,United States,English,Web Development,9.0,100.0,4.5,yes,69.0
FL250074,Jorge Riley,Male,59.0,Australia,English,Blockchain Development,4.0,40.0,1.9,False,88.0
FL250075,Melvin Harris,Male,36.0,Italy,Italian,Machine Learning,14.0,100.0,3.7,0,79.0
FL250076,Jeremy Meyer,Male,32.0,India,Hindi,Data Analysis,9.0,30.0,1.9,True,96.0
FL250077,Timothy Lee,Male,59.0,Australia,English,AI,9.0,75.0,4.0,1,96.0
FL250078,Diana Bautista,Female,54.0,Spain,Spanish,DevOps,32.0,40.0,1.8,N,79.0
FL250079,Leslie Rodriguez,Female,37.0,Canada,English,Graphic Design,9.0,40.0,0.0,1,89.0
FL250080,Noah Wiggins,Male,54.0,India,Hindi,Machine Learning,21.0,100.0,4.6,False,79.0
FL250081,Bridget Williams,Female,33.0,Argentina,Spanish,UI/UX Design,12.0,100.0,3.6,0,63.0
FL250082,Veronica Baker,Female,25.0,Egypt,Arabic,Web Development,7.0,40.0,4.4,,81.0
FL250083,Andrew Avila,Male,41.0,China,Mandarin,DevOps,3.0,40.0,4.6,N,74.0
FL250084,Michael Roberson,Male,35.0,South Korea,Korean,Web Development,5.0,75.0,3.2,False,72.0
FL250085,Austin Jenkins,Male,59.0,South Korea,Korean,AI,30.0,40.0,0.0,True,79.0
FL250086,Brenda Green,Female,21.0,China,Mandarin,DevOps,2.0,100.0,2.6,Y,85.0
FL250087,Samuel Pierce,Male,25.0,United States,English,Mobile Apps,2.0,75.0,3.7,N,79.0
FL250088,Briana Smith,Female,38.0,Mexico,Spanish,Web Development,19.0,75.0,2.3,False,61.0
FL250089,Ronald Barrett,Male,57.0,Russia,Russian,AI,16.0,100.0,3.1,False,79.0
FL250090,Matthew Smith,Male,32.0,India,Hindi,Mobile Apps,10.0,20.0,2.4,0,86.0
FL250091,Logan Huang,Male,21.0,Italy,Italian,DevOps,2.0,100.0,1.6,yes,97.0
FL250092,Miranda Hutchinson,Female,57.0,Canada,English,Cybersecurity,18.0,50.0,2.4,1,63.0
